id,name,full_name,team,team_id,pos,pos_id,price,proj_gw,proj_6gw,proj_by_gw,mins_proj,value,sel_pct,pts_last,mins_last,ppg_last,goals_last,assists_last,xgi90_last,defcon_last,cs_last,bonus_last,status,news,joined,is_new,pens,corners,fk,fdr6,cs_rate,note
338,Ampadu,Ethan Ampadu,LEE,13,MID,3,5.5,3.496,20.97,"[3.425, 3.631, 3.425, 3.862, 3.631, 2.999]",80,0.6356,1.5,134,3119,3.8,1,4,0.13,416,8,11,a,,2023-07-19,False,,,,19,0.232,
26,Havertz,Kai Havertz,ARS,1,FWD,4,7.5,3.466,20.8,"[3.911, 3.038, 3.291, 3.324, 3.324, 3.911]",58,0.4622,4.0,36,577,3.0,2,3,0.62,32,4,3,a,,2023-06-28,False,,,,18,0.491,
84,Collins,Nathan Collins,BRE,4,DEF,2,5.5,3.466,20.79,"[3.656, 3.364, 3.956, 3.364, 3.357, 3.098]",78,0.6301,2.0,129,2971,3.7,1,2,0.12,319,9,7,a,,2023-07-04,False,,,,19,0.232,
379,Isak,Alexander Isak,LIV,14,FWD,4,9.0,3.461,20.77,"[3.277, 3.551, 3.56, 3.856, 3.277, 3.245]",60,0.3846,11.2,41,694,2.9,3,1,0.35,30,1,4,a,,2025-09-01,False,1,,,17,0.307,Liverpool's #1 penalty taker under Iraola
122,Minteh,Yankuba Minteh,BHA,5,MID,3,6.0,3.46,20.76,"[3.595, 3.045, 3.898, 3.604, 3.292, 3.325]",68,0.5767,0.7,117,2389,3.4,3,8,0.33,185,11,9,a,,2024-07-01,False,,6,,18,0.271,
532,Ballard,Daniel Ballard,SUN,20,DEF,2,5.0,3.417,20.5,"[3.523, 3.811, 3.282, 3.272, 2.8, 3.811]",62,0.6834,3.6,116,2144,4.0,2,2,0.13,264,6,9,a,,2022-07-01,False,,,,18,0.247,
535,Alderete,Omar Alderete,SUN,20,DEF,2,5.0,3.408,20.45,"[3.515, 3.841, 3.256, 3.253, 2.738, 3.841]",73,0.6815,1.2,125,2797,3.8,1,1,0.08,312,10,5,a,,2025-08-12,False,,,,18,0.247,
469,N.Williams,Neco Williams,NFO,18,DEF,2,5.0,3.399,20.4,"[3.887, 2.924, 3.55, 2.924, 3.887, 3.224]",83,0.6799,13.0,128,3203,3.5,2,3,0.17,247,9,15,a,,2022-07-11,False,,5,3,18,0.232,
202,Richards,Chris Richards,CRY,8,DEF,2,5.0,3.398,20.39,"[3.248, 3.246, 3.248, 3.85, 3.248, 3.548]",74,0.6795,0.8,128,2825,3.9,1,0,0.13,311,11,5,a,,2022-07-27,False,,,,18,0.253,
445,Thiaw,Malick Thiaw,NEW,17,DEF,2,5.0,3.378,20.27,"[3.193, 3.208, 3.466, 3.208, 3.739, 3.454]",78,0.6756,2.0,126,2963,3.6,4,0,0.18,292,5,12,a,,2025-08-12,False,,,,17,0.259,
